X,Y,Red,Green,Blue
1144,599,201,181,156
1145,599,203,185,161
1146,599,214,201,179
1147,599,219,208,187
1148,599,219,208,187
1149,599,221,209,188
1150,599,222,211,190
1151,599,224,212,191
1152,599,225,213,192
1153,599,225,214,193
1154,599,226,215,194
1155,599,229,218,195
1156,599,230,219,196
1157,599,230,219,195
1158,599,230,219,195
1159,599,230,219,195
1160,599,229,218,195
1161,599,229,218,195
1162,599,229,218,195
1163,599,229,218,195
1164,599,229,218,195
1165,599,229,218,195
1166,599,229,218,195
1167,599,230,219,195
1168,599,230,219,196
1169,599,230,219,196
1170,599,230,219,195
1171,599,229,218,195
1172,599,228,217,194
1173,599,228,217,194
